formatted_com_name,com_name,sci_name,learn_more_link
Golden_Pheasant,Golden Pheasant,Chrysolophus pictus,https://www.allaboutbirds.org/guide/Golden_Pheasant/overview
Golden-crowned_Kinglet,Golden-crowned Kinglet,Regulus satrapa,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet/overview
Golden-crowned_Sparrow,Golden-crowned Sparrow,Zonotrichia atricapilla,https://www.allaboutbirds.org/guide/Golden-crowned_Sparrow/overview
Golden-winged_Warbler,Golden-winged Warbler,Vermivora chrysoptera,https://www.allaboutbirds.org/guide/Golden-winged_Warbler/overview
Grasshopper_Sparrow,Grasshopper Sparrow,Ammodramus savannarum,https://www.allaboutbirds.org/guide/Grasshopper_Sparrow/overview
Gray_Catbird,Gray Catbird,Dumetella carolinensis,https://www.allaboutbirds.org/guide/Gray_Catbird/overview
Gray_Crowned-Crane,Gray Crowned-Crane,Balearica regulorum,https://www.allaboutbirds.org/guide/Gray_Crowned-Crane/overview
Gray_Flycatcher,Gray Flycatcher,Empidonax wrightii,https://www.allaboutbirds.org/guide/Gray_Flycatcher/overview
Gray_Partridge,Gray Partridge,Perdix perdix,https://www.allaboutbirds.org/guide/Gray_Partridge/overview
Gray_Wagtail,Gray Wagtail,Motacilla cinerea,https://www.allaboutbirds.org/guide/Gray_Wagtail/overview
Gray-crowned_Rosy-Finch,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,https://www.allaboutbirds.org/guide/Gray-crowned_Rosy-Finch/overview
Gray-tailed_Tattler,Gray-tailed Tattler,Tringa brevipes,https://www.allaboutbirds.org/guide/Gray-tailed_Tattler/overview
Graylag_Goose,Graylag Goose,Anser anser,https://www.allaboutbirds.org/guide/Graylag_Goose/overview
Great_Black-backed_Gull,Great Black-backed Gull,Larus marinus,https://www.allaboutbirds.org/guide/Great_Black-backed_Gull/overview
Great_Blue_Heron,Great Blue Heron,Ardea herodias,https://www.allaboutbirds.org/guide/Great_Blue_Heron/overview
Great_Egret,Great Egret,Ardea alba,https://www.allaboutbirds.org/guide/Great_Egret/overview
Great_Gray_Owl,Great Gray Owl,Strix nebulosa,https://www.allaboutbirds.org/guide/Great_Gray_Owl/overview
Great_Horned_Owl,Great Horned Owl,Bubo virginianus,https://www.allaboutbirds.org/guide/Great_Horned_Owl/overview
Great_Knot,Great Knot,Calidris tenuirostris,https://www.allaboutbirds.org/guide/Great_Knot/overview
Great_Shearwater,Great Shearwater,Ardenna gravis,https://www.allaboutbirds.org/guide/Great_Shearwater/overview
Great-tailed_Grackle,Great-tailed Grackle,Quiscalus mexicanus,https://www.allaboutbirds.org/guide/Great-tailed_Grackle/overview
Greater_Pewee,Greater Pewee,Contopus pertinax,https://www.allaboutbirds.org/guide/Greater_Pewee/overview
Greater_Sage-Grouse,Greater Sage-Grouse,Centrocercus urophasianus,https://www.allaboutbirds.org/guide/Greater_Sage-Grouse/overview
Greater_Scaup,Greater Scaup,Aythya marila,https://www.allaboutbirds.org/guide/Greater_Scaup/overview
Greater_White-fronted_Goose,Greater White-fronted Goose,Anser albifrons,https://www.allaboutbirds.org/guide/Greater_White-fronted_Goose/overview
Greater_Yellowlegs,Greater Yellowlegs,Tringa melanoleuca,https://www.allaboutbirds.org/guide/Greater_Yellowlegs/overview
